"","id","year","symbol","genus","species","latbi","commonName","plantNickname","budburst","increasingLeafSize","leafout","flowers","openFlowers","pollenRelease","fruits","ripeFruits","recentFruitorSeedDrop","coloredLeaves","DBH","accessionDate","pgs","fgs","budburstGDD5","leafoutGDD5","leafcolorGDD5","pgsGDD5","fgsGDD5","budburstGDD10","leafoutGDD10","leafcolorGDD10","pgsGDD10","fgsGDD10","pgsGDD10AVG","lengthMM"
"87","AEFL_12651_I",2018,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",116,121,117,124,141,NA,187,251,251,260,61.1,"07-01-1906",143,144,220.191666666667,226.783333333333,2490.51666666667,2263.73333333333,2270.325,83.6027777777778,86.75,1657.28611111111,1570.53611111111,1573.68333333333,1008.52777777778,1.2192
"89","AEFL_12651_I",2021,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",110,110,110,117,NA,NA,143,243,243,272,61.1,"07-01-1906",162,162,218.333333333333,218.333333333333,2554.55555555555,2336.22222222222,2336.22222222222,97.3333333333333,97.3333333333333,1671,1573.66666666667,1573.66666666667,1184.91666666667,2.3241
"91","AEFL_12651_I",2022,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",115,115,115,115,128,NA,140,NA,NA,199,61.1,"07-01-1906",84,84,277,277,1397.58333333333,1120.58333333333,1120.58333333333,114.694444444444,114.694444444444,845.777777777777,731.083333333333,731.083333333333,731.083333333333,1.5113
"93","AEFL_12651_I",2024,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",108,113,224,116,NA,NA,148,NA,NA,245,61.1,"07-01-1906",21,137,191.444444444444,1888.77777777778,2211.75,322.972222222222,2020.30555555555,68.5277777777777,1230.72222222222,1448.69444444444,217.972222222222,1380.16666666667,119.972222222222,1.7018
"95","AEFL_925-79_B",2016,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",110,142,112,112,130,NA,154,260,274,274,44.5,"09-24-1979",162,164,250.702777777778,265.2,2676.37222222222,2411.17222222222,2425.66944444444,104.172222222222,113.066666666667,1766.95277777778,1653.88611111111,1662.78055555556,1641.67222222222,3.7338
"97","AEFL_925-79_B",2017,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",108,108,108,108,119,NA,136,NA,NA,NA,44.5,"09-24-1979",NA,NA,242.377777777778,242.377777777778,NA,NA,NA,108.713888888889,108.713888888889,NA,NA,NA,1463.78611111111,3.1242
"99","AEFL_925-79_B",2018,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",112,138,116,125,138,NA,151,259,259,249,44.5,"09-24-1979",133,137,188.944444444444,220.191666666667,2333.45555555556,2113.26388888889,2144.51111111111,67.0722222222222,83.6027777777778,1555.225,1471.62222222222,1488.15277777778,1011.675,4.7625
"101","AEFL_925-79_B",2020,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",105,111,111,108,126,NA,147,236,236,264,44.5,"09-24-1979",153,159,203.861111111111,219.638888888889,2457.97222222222,2238.33333333333,2254.11111111111,70.4444444444445,75.0000000000001,1633.25,1558.25,1562.80555555555,1217.02777777778,5.207
"103","AEFL_925-79_B",2021,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",98,98,98,98,119,NA,134,256,268,196,44.5,"09-24-1979",98,98,157.222222222222,157.222222222222,1306.97222222222,1149.75,1149.75,66.3055555555555,66.3055555555555,802.583333333333,736.277777777778,736.277777777778,1215.94444444444,3.4925
"105","AEFL_925-79_B",2023,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",102,104,104,103,114,NA,244,263,263,259,44.5,"09-24-1979",155,157,211.972222222222,242.75,2391.16666666667,2148.41666666667,2179.19444444444,70.8055555555555,91.6388888888889,1533.58333333333,1441.94444444444,1462.77777777778,1441.94444444444,3.7846
"107","AEFL_925-79_B",2024,"AEFL","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",106,107,107,107,121,NA,171,NA,NA,227,44.5,"09-24-1979",120,121,178.111111111111,186.305555555555,1937,1750.69444444444,1758.88888888889,61.3333333333333,66.5833333333333,1263.94444444444,1197.36111111111,1202.61111111111,1284.11111111111,4.2926
"109","BEAL_12843_A",2018,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",118,124,122,142,124,NA,320,320,313,264,73.8,"10-15-1900",142,146,237.494444444444,271.027777777778,2543.375,2272.34722222222,2305.88055555556,93.475,114.169444444444,1690.14444444444,1575.975,1596.66944444444,1639.93055555556,1.0668
"111","BEAL_12843_A",2020,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",159,126,126,119,126,NA,305,257,257,257,73.8,"10-15-1900",131,98,623.25,294.888888888889,2389.72222222222,2094.83333333333,1766.47222222222,315.416666666667,109.805555555556,1594.61111111111,1484.80555555555,1279.19444444444,1484.80555555555,1.0922
"113","BEAL_12843_A",2021,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",108,114,114,100,109,NA,152,211,211,261,73.8,"10-15-1900",147,153,200.972222222222,241.555555555556,2411.02777777778,2169.47222222222,2210.05555555556,85.4722222222222,110.861111111111,1581.63888888889,1470.77777777778,1496.16666666667,1470.77777777778,1.8542
"115","BEAL_12843_A",2022,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",147,125,125,126,NA,NA,147,230,230,250,73.8,"10-15-1900",125,103,581.666666666667,331.583333333333,2372.69444444444,2041.11111111111,1791.02777777778,288.5,137.222222222222,1565.88888888889,1428.66666666667,1277.38888888889,1428.66666666667,1.905
"117","BEAL_12843_A",2023,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",104,104,104,77,104,104,162,228,228,256,73.8,"10-15-1900",152,152,242.75,242.75,2351.72222222222,2108.97222222222,2108.97222222222,91.6388888888889,91.6388888888889,1509.13888888889,1417.5,1417.5,1417.5,1.9685
"119","BEAL_12843_D",2017,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D",118,164,118,118,133,NA,257,NA,NA,276,70.9,"10-15-1900",158,158,306.980555555556,306.980555555556,2543.18611111111,2236.20555555556,2236.20555555556,140.880555555556,140.880555555556,1631.07777777778,1490.19722222222,1490.19722222222,1340.02777777778,1.2065
"121","BEAL_12843_D",2018,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D",114,123,123,122,123,NA,293,264,315,266,70.9,"10-15-1900",143,152,202.072222222222,291.277777777778,2562.29722222222,2271.01944444444,2360.225,75.2,129.419444444444,1700.15555555556,1570.73611111111,1624.95555555556,1624.68055555556,0.7493
"123","BEAL_12843_E",2017,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E",133,184,117,289,133,NA,280,251,NA,242,56.2,"10-15-1900",125,109,404.333333333333,290.847222222222,2074.31944444444,1783.47222222222,1669.98611111111,186.655555555556,129.747222222222,1322.6,1192.85277777778,1135.94444444445,1351.16111111111,1.2573
"125","BEAL_12843_E",2018,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E",114,123,122,118,142,125,293,259,313,280,56.2,"10-15-1900",158,166,202.072222222222,271.027777777778,2709.96111111111,2438.93333333333,2507.88888888889,75.2,114.169444444444,1783.61111111111,1669.44166666667,1708.41111111111,1639.93055555556,0.8763
"127","BEAL_12843_E",2020,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E",108,158,126,158,126,NA,231,236,NA,258,56.2,"10-15-1900",132,150,211.25,294.888888888889,2402.36111111111,2107.47222222222,2191.11111111111,71.5000000000001,109.805555555556,1602.25,1492.44444444444,1530.75,1484.80555555555,0.9779
"129","BEAL_12843_H",2018,"BEAL","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*H",118,125,122,122,122,NA,293,280,313,293,64.6,"10-15-1900",171,175,237.494444444444,271.027777777778,2813.08055555555,2542.05277777778,2575.58611111111,93.475,114.169444444444,1843.29444444444,1729.125,1749.81944444444,1639.93055555556,0.7874
"131","BENI_1199_J",2017,"BENI","Betula","nigra","Betula nigra","River birch","1199*J",118,120,118,118,118,117,149,162,162,276,89.1,"07-17-1877",158,158,306.980555555556,306.980555555556,2543.18611111111,2236.20555555556,2236.20555555556,140.880555555556,140.880555555556,1631.07777777778,1490.19722222222,1490.19722222222,1490.19722222222,0.9906
"132","BENI_1199_J",2018,"BENI","Betula","nigra","Betula nigra","River birch","1199*J",122,156,122,157,122,130,154,161,162,272,89.1,"07-17-1877",150,150,271.027777777778,271.027777777778,2630.55277777778,2359.525,2359.525,114.169444444444,114.169444444444,1739.34722222222,1625.17777777778,1625.17777777778,1625.17777777778,1.0414
"133","BENI_1251-79_A",2024,"BENI","Betula","nigra","Betula nigra","River birch","1251-79*A",110,124,124,111,NA,NA,NA,159,NA,NA,78,"12-20-1979",NA,NA,199.722222222222,287.972222222222,NA,NA,NA,71.2222222222222,116.277777777778,NA,NA,NA,1434.91666666667,3.048
"135","BENI_1251-79_B",2018,"BENI","Betula","nigra","Betula nigra","River birch","1251-79*B",156,156,122,157,157,NA,144,156,162,272,70.8,"12-20-1979",150,116,665.369444444444,271.027777777778,2630.55277777778,2359.525,1965.18333333333,352.138888888889,114.169444444444,1739.34722222222,1625.17777777778,1387.20833333333,1625.17777777778,4.2037
"137","BENI_1251-79_B",2021,"BENI","Betula","nigra","Betula nigra","River birch","1251-79*B",154,122,122,114,116,116,148,NA,NA,261,70.8,"12-20-1979",139,107,617.333333333333,293.333333333333,2411.02777777778,2117.69444444444,1793.69444444444,322.5,135.305555555556,1581.63888888889,1446.33333333333,1259.13888888889,1446.33333333333,2.1336
"139","BENI_1251-79_B",2022,"BENI","Betula","nigra","Betula nigra","River birch","1251-79*B",113,125,125,113,125,125,147,158,158,238,70.8,"12-20-1979",113,125,270.583333333333,331.583333333333,2182.16666666667,1850.58333333333,1911.58333333333,113.333333333333,137.222222222222,1435.36111111111,1298.13888888889,1322.02777777778,1298.13888888889,2.5527
"141","BENI_1251-79_B",2023,"BENI","Betula","nigra","Betula nigra","River birch","1251-79*B",104,117,108,101,104,112,139,159,159,231,70.8,"12-20-1979",123,127,242.75,267.722222222222,1924.25,1656.52777777778,1681.5,91.6388888888889,99.8333333333333,1206.66666666667,1106.83333333333,1115.02777777778,1106.83333333333,3.5433
"143","BENI_1251-79_B",2024,"BENI","Betula","nigra","Betula nigra","River birch","1251-79*B",121,121,121,111,117,NA,NA,NA,NA,257,70.8,"12-20-1979",136,136,267.527777777778,267.527777777778,2373.80555555555,2106.27777777778,2106.27777777778,106.694444444444,106.694444444444,1551.19444444444,1444.5,1444.5,1444.5,1.9304
"145","CAGL_20098_A",2016,"CAGL","Carya","glabra","Carya glabra","Pignut hickory","20098*A",118,122,118,122,NA,NA,150,NA,NA,NA,62.9,"07-01-1883",NA,NA,310.275,310.275,NA,NA,NA,137.736111111111,137.736111111111,NA,NA,NA,1677.84166666667,1.2954
