"id","genus","species","latbi","commonName","plantNickname","symbol","year","budburst","increasingLeafSize","leafout","flowers","openFlowers","pollenRelease","fruits","ripeFruits","recentFruitorSeedDrop","coloredLeaves","DBH","accessionDate","lat","long"
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A","BEAL2",2022,147,125,125,126,NA,NA,147,230,230,250,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A","BEAL2",2023,104,104,104,77,104,104,162,228,228,256,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_D","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D","BEAL2",2017,118,164,118,118,133,NA,257,NA,NA,276,70.9,"10-15-1900",42.302041,-71.12388059
"BEAL_12843_D","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*D","BEAL2",2018,114,123,123,122,123,NA,293,264,315,266,70.9,"10-15-1900",42.302041,-71.12388059
"BEAL_12843_E","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E","BEAL2",2017,133,184,117,289,133,NA,280,251,NA,242,56.2,"10-15-1900",42.30194577,-71.12374252
"BEAL_12843_E","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E","BEAL2",2018,114,123,122,118,142,125,293,259,313,280,56.2,"10-15-1900",42.30194577,-71.12374252
"BEAL_12843_E","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*E","BEAL2",2020,108,158,126,158,126,NA,231,236,NA,258,56.2,"10-15-1900",42.30194577,-71.12374252
"BEAL_12843_H","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*H","BEAL2",2018,118,125,122,122,122,NA,293,280,313,293,64.6,"10-15-1900",42.30199149,-71.12371027
"BENI_1199_J","Betula","nigra","Betula nigra","River birch","1199*J","BENI",2017,118,120,118,118,118,117,149,162,162,276,89.1,"07-17-1877",42.30252077,-71.12397574
"BENI_1199_J","Betula","nigra","Betula nigra","River birch","1199*J","BENI",2018,122,156,122,157,122,130,154,161,162,272,89.1,"07-17-1877",42.30252077,-71.12397574
"BENI_1251-79_A","Betula","nigra","Betula nigra","River birch","1251-79*A","BENI",2024,110,124,124,111,NA,NA,NA,159,NA,NA,78,"12-20-1979",42.30223154,-71.12410601
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B","BENI",2018,156,156,122,157,157,NA,144,156,162,272,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B","BENI",2021,154,122,122,114,116,116,148,NA,NA,261,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B","BENI",2022,113,125,125,113,125,125,147,158,158,238,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B","BENI",2023,104,117,108,101,104,112,139,159,159,231,70.8,"12-20-1979",42.30228781,-71.12445659
"BENI_1251-79_B","Betula","nigra","Betula nigra","River birch","1251-79*B","BENI",2024,121,121,121,111,117,NA,NA,NA,NA,257,70.8,"12-20-1979",42.30228781,-71.12445659
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A","CAGL8",2016,118,122,118,122,NA,NA,150,NA,NA,NA,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A","CAGL8",2018,118,131,122,131,NA,NA,193,279,288,258,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A","CAGL8",2019,108,162,111,139,NA,NA,236,NA,287,253,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A","CAGL8",2020,125,156,127,127,141,NA,262,262,259,259,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A","CAGL8",2021,113,120,115,131,131,NA,146,NA,NA,NA,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A","CAGL8",2022,114,116,116,126,NA,NA,NA,NA,NA,251,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_20098_A","Carya","glabra","Carya glabra","Pignut hickory","20098*A","CAGL8",2023,104,129,112,NA,NA,NA,NA,NA,NA,NA,62.9,"07-01-1883",42.29994157,-71.1258635
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R","CAGL8",2016,118,124,122,118,143,144,150,230,230,285,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R","CAGL8",2018,118,131,122,131,NA,NA,239,279,288,273,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R","CAGL8",2019,108,115,111,139,NA,NA,208,NA,287,251,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R","CAGL8",2020,124,138,126,126,134,NA,156,262,259,260,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R","CAGL8",2021,113,120,113,131,131,NA,146,NA,NA,265,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R","CAGL8",2022,114,119,119,126,NA,NA,146,NA,NA,NA,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R","CAGL8",2023,104,129,112,118,NA,NA,NA,NA,NA,NA,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_R","Carya","glabra","Carya glabra","Pignut hickory","2019*R","CAGL8",2024,119,119,119,128,NA,NA,147,NA,NA,NA,47.6,"10-19-1883",42.2999657,-71.12566127
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S","CAGL8",2016,122,125,122,130,NA,149,150,NA,NA,285,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S","CAGL8",2019,108,115,115,139,NA,NA,236,NA,287,260,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S","CAGL8",2020,125,156,127,127,144,NA,168,224,220,251,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S","CAGL8",2021,118,126,123,126,131,NA,152,270,270,243,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S","CAGL8",2022,114,116,116,126,136,NA,NA,NA,NA,251,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_2019_S","Carya","glabra","Carya glabra","Pignut hickory","2019*S","CAGL8",2023,104,129,112,NA,NA,NA,NA,NA,NA,NA,67.4,"10-19-1883",42.29994973,-71.12573747
"CAGL_6990_A","Carya","glabra","Carya glabra","Pignut hickory","6990*A","CAGL8",2016,110,122,118,NA,NA,NA,166,NA,NA,NA,45.7,"12-29-1909",42.30020379,-71.12586584
"CAGL_6990_A","Carya","glabra","Carya glabra","Pignut hickory","6990*A","CAGL8",2018,119,131,122,NA,NA,NA,153,279,288,249,45.7,"12-29-1909",42.30020379,-71.12586584
"CAGL_6990_A","Carya","glabra","Carya glabra","Pignut hickory","6990*A","CAGL8",2019,108,111,162,132,NA,NA,248,NA,287,251,45.7,"12-29-1909",42.30020379,-71.12586584
"CAGL_6990_A","Carya","glabra","Carya glabra","Pignut hickory","6990*A","CAGL8",2020,119,141,127,NA,NA,NA,220,NA,220,262,45.7,"12-29-1909",42.30020379,-71.12586584
"CAGL_6990_A","Carya","glabra","Carya glabra","Pignut hickory","6990*A","CAGL8",2022,112,116,116,126,NA,NA,NA,NA,NA,NA,45.7,"12-29-1909",42.30020379,-71.12586584
"CAGL_6990_A","Carya","glabra","Carya glabra","Pignut hickory","6990*A","CAGL8",2023,104,112,104,NA,NA,NA,137,NA,NA,NA,45.7,"12-29-1909",42.30020379,-71.12586584
"CAOV_12907_B","Carya","ovata","Carya ovata","Shagbark hickory","12907*B","CAOV2",2016,130,132,131,142,NA,NA,150,NA,NA,284,54.8,"10-18-1883",42.30172976,-71.12580046
"CAOV_12907_B","Carya","ovata","Carya ovata","Shagbark hickory","12907*B","CAOV2",2017,105,124,118,151,139,NA,300,278,251,285,54.8,"10-18-1883",42.30172976,-71.12580046
"CAOV_12907_B","Carya","ovata","Carya ovata","Shagbark hickory","12907*B","CAOV2",2020,125,140,134,140,146,NA,207,259,259,276,54.8,"10-18-1883",42.30172976,-71.12580046
"CAOV_12907_D","Carya","ovata","Carya ovata","Shagbark hickory","12907*D","CAOV2",2016,130,NA,132,143,NA,NA,NA,NA,NA,284,51.8,"10-18-1883",42.30168923,-71.12587438
"CAOV_12907_D","Carya","ovata","Carya ovata","Shagbark hickory","12907*D","CAOV2",2017,129,118,118,151,139,NA,172,267,251,264,51.8,"10-18-1883",42.30168923,-71.12587438
"CAOV_12907_D","Carya","ovata","Carya ovata","Shagbark hickory","12907*D","CAOV2",2018,118,125,125,144,144,NA,272,279,279,272,51.8,"10-18-1883",42.30168923,-71.12587438
"CAOV_12907_D","Carya","ovata","Carya ovata","Shagbark hickory","12907*D","CAOV2",2019,108,142,124,133,NA,NA,297,297,282,260,51.8,"10-18-1883",42.30168923,-71.12587438
"CAOV_12907_D","Carya","ovata","Carya ovata","Shagbark hickory","12907*D","CAOV2",2020,125,140,134,141,NA,NA,207,259,259,276,51.8,"10-18-1883",42.30168923,-71.12587438
"CAOV_12907_G","Carya","ovata","Carya ovata","Shagbark hickory","12907*G","CAOV2",2016,110,132,127,134,142,144,200,NA,NA,278,59.5,"10-18-1883",42.30181554,-71.1256858
"CAOV_12907_G","Carya","ovata","Carya ovata","Shagbark hickory","12907*G","CAOV2",2018,122,170,125,125,131,NA,263,279,279,272,59.5,"10-18-1883",42.30181554,-71.1256858
"CAOV_12907_G","Carya","ovata","Carya ovata","Shagbark hickory","12907*G","CAOV2",2019,108,124,196,152,153,NA,297,297,282,260,59.5,"10-18-1883",42.30181554,-71.1256858
"CAOV_12907_G","Carya","ovata","Carya ovata","Shagbark hickory","12907*G","CAOV2",2020,125,140,129,136,146,NA,207,259,259,262,59.5,"10-18-1883",42.30181554,-71.1256858
"CAOV_12907_G","Carya","ovata","Carya ovata","Shagbark hickory","12907*G","CAOV2",2021,115,NA,124,NA,NA,NA,NA,NA,NA,NA,59.5,"10-18-1883",42.30181554,-71.1256858
"CAOV_12907_G","Carya","ovata","Carya ovata","Shagbark hickory","12907*G","CAOV2",2022,116,126,126,131,136,NA,147,NA,NA,258,59.5,"10-18-1883",42.30181554,-71.1256858
"CAOV_12907_I","Carya","ovata","Carya ovata","Shagbark hickory","12907*I","CAOV2",2016,130,142,132,143,NA,NA,NA,NA,NA,278,51,"10-18-1883",42.30185516,-71.12559225
"CAOV_12907_I","Carya","ovata","Carya ovata","Shagbark hickory","12907*I","CAOV2",2017,129,118,183,151,133,NA,270,270,247,285,51,"10-18-1883",42.30185516,-71.12559225
"CAOV_12907_I","Carya","ovata","Carya ovata","Shagbark hickory","12907*I","CAOV2",2018,118,125,125,125,NA,NA,282,272,279,272,51,"10-18-1883",42.30185516,-71.12559225
"CAOV_12907_I","Carya","ovata","Carya ovata","Shagbark hickory","12907*I","CAOV2",2019,115,124,124,119,142,152,226,248,264,260,51,"10-18-1883",42.30185516,-71.12559225
"CAOV_12907_I","Carya","ovata","Carya ovata","Shagbark hickory","12907*I","CAOV2",2020,140,140,136,NA,NA,NA,207,NA,260,250,51,"10-18-1883",42.30185516,-71.12559225
"CAOV_12907_I","Carya","ovata","Carya ovata","Shagbark hickory","12907*I","CAOV2",2021,115,NA,124,NA,NA,NA,NA,NA,261,270,51,"10-18-1883",42.30185516,-71.12559225
"CAOV_12907_N","Carya","ovata","Carya ovata","Shagbark hickory","12907*N","CAOV2",2016,125,143,132,143,150,149,150,236,NA,285,61.2,"10-18-1883",42.30163563,-71.12561522
"CAOV_12907_N","Carya","ovata","Carya ovata","Shagbark hickory","12907*N","CAOV2",2018,118,125,125,125,144,146,156,272,272,274,61.2,"10-18-1883",42.30163563,-71.12561522
"CAOV_12907_N","Carya","ovata","Carya ovata","Shagbark hickory","12907*N","CAOV2",2019,108,124,124,151,142,NA,297,297,282,260,61.2,"10-18-1883",42.30163563,-71.12561522
"CAOV_12907_N","Carya","ovata","Carya ovata","Shagbark hickory","12907*N","CAOV2",2020,125,138,134,129,146,149,167,259,253,273,61.2,"10-18-1883",42.30163563,-71.12561522
"CAOV_12907_N","Carya","ovata","Carya ovata","Shagbark hickory","12907*N","CAOV2",2022,114,126,126,129,136,NA,152,NA,NA,286,61.2,"10-18-1883",42.30163563,-71.12561522
"PODE_16611_F","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*F","PODE3",2017,107,124,124,109,NA,NA,125,143,161,250,93.9,"08-15-1895",42.29432229,-71.12466088
"PODE_16611_F","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*F","PODE3",2018,117,124,124,124,NA,NA,147,NA,148,270,93.9,"08-15-1895",42.29432229,-71.12466088
"PODE_16611_F","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*F","PODE3",2019,123,209,248,NA,NA,NA,152,NA,NA,260,93.9,"08-15-1895",42.29432229,-71.12466088
"PODE_16611_F","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*F","PODE3",2021,120,123,123,103,109,NA,123,145,145,278,93.9,"08-15-1895",42.29432229,-71.12466088
"PODE_16611_F","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*F","PODE3",2022,117,128,127,108,117,NA,128,148,148,269,93.9,"08-15-1895",42.29432229,-71.12466088
"PODE_16611_J","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*J","PODE3",2017,107,124,124,109,109,NA,139,NA,NA,231,71,"08-15-1895",42.2941909,-71.12464076
"PODE_16611_J","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*J","PODE3",2018,117,124,124,124,NA,NA,147,NA,NA,269,71,"08-15-1895",42.2941909,-71.12464076
"PODE_16611_J","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*J","PODE3",2021,123,125,125,NA,113,NA,123,NA,153,257,71,"08-15-1895",42.2941909,-71.12464076
"PODE_16611_J","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*J","PODE3",2022,117,127,127,108,NA,NA,127,NA,NA,NA,71,"08-15-1895",42.2941909,-71.12464076
"PODE_16611_K","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*K","PODE3",2017,107,124,124,109,109,NA,124,161,161,270,81.5,"08-15-1895",42.29404926,-71.12460511
"PODE_16611_K","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*K","PODE3",2018,117,NA,129,124,NA,NA,147,154,159,269,81.5,"08-15-1895",42.29404926,-71.12460511
"PODE_16611_K","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*K","PODE3",2021,123,125,125,103,113,NA,123,153,153,257,81.5,"08-15-1895",42.29404926,-71.12460511
"PODE_16611_K","Populus","deltoides","Populus deltoides","Eastern cottonwood","16611*K","PODE3",2022,128,130,130,108,114,NA,128,152,NA,NA,81.5,"08-15-1895",42.29404926,-71.12460511
"PODE_22099_A","Populus","deltoides","Populus deltoides","Eastern cottonwood","22099*A","PODE3",2017,102,126,147,109,109,NA,NA,NA,NA,231,58,"07-01-1911",42.29378479,-71.124621
