"id","genus","species","latbi","commonName","plantNickname","year","budburst","leafout","coloredLeaves","DBH","accessionDate","lat","long"
"AEFL_12651_C","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",2021,NA,100,NA,35.3,"07-01-1906",42.30355576,-71.1212595
"AEFL_12651_D","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",2015,NA,165,255,60.2,"07-01-1906",42.30351523,-71.12133382
"AEFL_12651_D","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",2016,111,112,274,60.2,"07-01-1906",42.30351523,-71.12133382
"AEFL_12651_D","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",2017,108,108,267,60.2,"07-01-1906",42.30351523,-71.12133382
"AEFL_12651_D","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",2018,114,117,NA,60.2,"07-01-1906",42.30351523,-71.12133382
"AEFL_12651_D","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",2019,NA,115,272,60.2,"07-01-1906",42.30351523,-71.12133382
"AEFL_12651_D","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*D",2020,NA,112,250,60.2,"07-01-1906",42.30351523,-71.12133382
"AEFL_12651_H","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",2015,NA,165,255,49.1,"07-01-1906",42.3035604,-71.12143904
"AEFL_12651_H","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",2016,110,112,262,49.1,"07-01-1906",42.3035604,-71.12143904
"AEFL_12651_H","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",2017,108,108,NA,49.1,"07-01-1906",42.3035604,-71.12143904
"AEFL_12651_H","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",2018,114,117,NA,49.1,"07-01-1906",42.3035604,-71.12143904
"AEFL_12651_H","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",2019,NA,124,NA,49.1,"07-01-1906",42.3035604,-71.12143904
"AEFL_12651_H","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*H",2020,NA,112,NA,49.1,"07-01-1906",42.3035604,-71.12143904
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",2016,114,116,280,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",2017,107,114,270,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",2018,116,117,260,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",2019,104,109,257,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",2020,119,120,272,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",2021,110,110,272,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",2022,115,115,199,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",2023,NA,112,268,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_12651_I","Aesculus","flava","Aesculus flava","Yellow buckeye","12651*I",2024,108,113,245,61.1,"07-01-1906",42.2931417,-71.12879258
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2015,NA,NA,218,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2016,110,112,274,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2017,101,108,NA,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2018,112,116,249,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2019,107,107,270,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2020,105,111,264,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2021,98,98,196,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2022,106,107,279,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2023,102,104,259,44.5,"09-24-1979",42.30391297,-71.12232333
"AEFL_925-79_B","Aesculus","flava","Aesculus flava","Yellow buckeye","925-79*B",2024,106,107,227,44.5,"09-24-1979",42.30391297,-71.12232333
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2015,NA,NA,278,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2016,109,114,278,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2017,102,117,276,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2018,118,122,264,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2019,107,114,262,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2020,110,126,257,73.8,"10-15-1900",42.3020682,-71.12386246
"BEAL_12843_A","Betula","alleghaniensis","Betula alleghaniensis","Yellow birch","12843*A",2021,108,114,261,73.8,"10-15-1900",42.3020682,-71.12386246
