"","id","year","genus","species","latbi","commonName","plantNickname","budburst","leafout","coloredLeaves","DBH","lengthMM","accessionDate","pgs","fgs","budburstGDD5","leafoutGDD5","leafcolorGDD5","pgsGDD5","fgsGDD5","budburstGDD10","leafoutGDD10","leafcolorGDD10","pgsGDD10","fgsGDD10","pgsGDD10AVG"
"316","ACSA_689-2010_A",2017,"Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",102,108,270,78,1.5113,"11-18-2010",162,168,192.547222222222,242.377777777778,2490.41388888889,2248.03611111111,2297.86666666667,78.8833333333333,108.713888888889,1600.68055555556,1491.96666666667,1521.79722222222,1516.93055555556
"317","ACSA_689-2010_A",2018,"Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",NA,122,287,78,3.7846,"11-18-2010",165,NA,NA,271.027777777778,2778.725,2507.69722222222,NA,NA,114.169444444444,1823.56666666667,1709.39722222222,NA,1695.71111111111
"318","ACSA_689-2010_A",2019,"Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",NA,115,285,78,4.5466,"11-18-2010",170,NA,NA,253.602777777778,2592.86388888889,2339.26111111111,NA,NA,112.269444444445,1666.18333333333,1553.91388888889,NA,1545.86388888889
"319","ACSA_689-2010_A",2020,"Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",112,123,260,78,3.5179,"11-18-2010",137,148,222.944444444445,265.777777777778,2422.52777777778,2156.75,2199.58333333333,75.8055555555556,92.1388888888889,1613.61111111111,1521.47222222222,1537.80555555555,1630.47222222222
"320","ACSA_689-2010_A",2021,"Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",99,110,289,78,3.3909,"11-18-2010",179,190,163.583333333333,218.333333333333,2740.27777777778,2521.94444444444,2576.69444444444,70.1666666666666,97.3333333333333,1776.33333333333,1679,1706.16666666667,1661.75
"321","ACSA_689-2010_A",2022,"Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",106,117,281,78,2.4257,"11-18-2010",164,175,236.611111111111,286.083333333333,2713.25,2427.16666666667,2476.63888888889,99.0277777777778,117.583333333333,1764.08333333333,1646.5,1665.05555555555,1609.36111111111
"322","ACSA_689-2010_A",2024,"Acer","saccharum","Acer saccharum","Sugar maple","689-2010*A",NA,116,277,78,2.9083,"11-18-2010",161,NA,NA,230.111111111111,2615.69444444444,2385.58333333333,NA,NA,86.1666666666666,1694.05555555556,1607.88888888889,NA,1601.38888888889
"52","AEFL_12651_C",2015,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",NA,165,NA,35.3,0.5842,"07-01-1906",NA,NA,NA,731.675,NA,NA,NA,NA,423.775,NA,NA,NA,947.908333333333
"53","AEFL_12651_C",2016,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",105,108,274,35.3,0.7366,"07-01-1906",166,169,226.336111111111,238.494444444444,2676.37222222222,2437.87777777778,2450.03611111111,93.0361111111111,97.6944444444445,1766.95277777778,1669.25833333333,1673.91666666667,1661.49722222222
"54","AEFL_12651_C",2017,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",108,108,NA,35.3,0.4826,"07-01-1906",NA,NA,242.377777777778,242.377777777778,NA,NA,NA,108.713888888889,108.713888888889,NA,NA,NA,1463.78611111111
"55","AEFL_12651_C",2018,"Aesculus","flava","Aesculus flava","Yellow buckeye","12651*C",117,122,199,35.3,0.6223,"07-01-1906",77,82,226.783333333333,271.027777777778,1376.38055555556,1105.35277777778,1149.59722222222,86.75,114.169444444444,848.15,733.980555555556,761.4,981.108333333334
