Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Georeference Source,Accuracy,Certainty,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone,Of Conservation Concern
530-2009*A,530-2009,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,530-2009,09-09-2009,Existing plant,Vaccinium corymbosum,Vacc. corymbosum,,,Uncertain origin,,,,"Unknown via Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,11-SW,11,SW,42.30325355,-71.12108527,2019-09-17,Good,,,,,,,,,,,,,,1.15,No
5859*B,5859,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,5859,09-02-1908,Seed,"Quercus borealis, Quercus borealis maxima, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C.E.",,,United States,"New Hampshire, Littleton",,,,,,,,,,,,,,,,26-SW,26,SW,42.2999613,-71.12363106,2017-12-31,Alive,,2017-08-24,92.6,C,,,,,,,,,,2.7,No
111-2019*R,111-2019,Pinaceae,Pinus,strobus,,Pinus strobus,Accepted name,1993. Flora of North America. Pteridophytes and Gymnosperms. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1002.,,,"Eastern White Pine, Weymouth's Pine, Northern White Pine",Tree,111-2019,04-09-2019,Plant,Pinus strobus,P. strobus,,,From a cultivated plant not of known wild origin,,,,"Morningstar Nurseries, Llc, West Kingston, RI, United States",,,Items 410000017777 and 410000009987,,,,,,,,,,,,,,,,,,,,,,,WH1-SW,WH1,SW,42.29546274,-71.13437005,2022-06-14,Good,,2022-06-14,9.3,C,,,,,,,,,,7.2,No
16611*F,16611,Salicaceae,Populus,deltoides,,Populus deltoides ssp. deltoides,Accepted name,2010. Flora of North America. Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press.,,"Populus virginiana, Populus angulata, Populus angulata var. missouriensis",Eastern Cottonwood,Tree,16611,08-15-1895,Seedling,"Populus monilifera, P. deltoides, P. balsamifera virginiana, P. deltoides",Pop. delt. ssp. delt.,ssp.,deltoides,Collected directly from the wild; origin known,,,,"Mr. J. G. Jack, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Jack, J. G.",,,Canada,"Quebec, Chateauguay",,,,,,,,,,,,,,August 1895 and September 1896,,51-SE,51,SE,42.29432229,-71.12466088,2021-06-08,Good,,2021-06-08,93.9,C,,,,,,,,,"Eckenwalder, J. E., 01 Jan 1989, Populus deltoides ssp. deltoides, 3",4.13,No
386-71*B,386-71,Ericaceae,Vaccinium,corymbosum,,Vaccinium corymbosum,Accepted name,"Kloet, S.P.V. 1980. The Taxonomy of the Highbush Blueberry, Vaccinium Corymbosum. Canadian Journal of Botany 58:1187-1201.",,"Vaccinium simulatum, Vaccinium virgatum var. tenellum, Vaccinium elliottii, Vaccinium virgatum, Vaccinium amoenum",Highbush Blueberry,Shrub,386-71,02-16-1971,Seed,"Vaccinium angustifolium nigrum, Vaccinium corymbosum",Vacc. corymbosum,,,From a cultivated plant of known (indirect) wild origin,XX,X,SA,"Montreal Botanical Garden, Montreal, Quebec, Canada",,,,,,,,07-01-1969,Canada,Quebec,,,,,,,,,,,,,,Collected in natural local plantings.,,5-SW,5,SW,42.30571912,-71.12155379,2024-11-13,Good,,2008-10-23,,,,,1.98,M,,,,,"Michener, D., 01 Jan 1988, Vaccinium corymbosum, 3",1.3,No
1104-81*A,1104-81,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc.",,,Withe-rod,Shrub,1104-81,04-13-1982,Cutting,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,V,X,VA,"Mr. Gary L. Koller, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Koller, G. L.",,07-18-1981,United States,Massachusetts,,"along shoreline of Mary Dunn Pond, near Hyannis",,,,,,,,,edge of woodland,,,,"Leucothoe racemosa, Nemopanthus mucronatus, Pinus rigida, Quercus sp., Vaccinium corymbosum",50-NE,50,NE,42.295173,-71.12621128,2021-05-28,Good,,2021-05-28,,,,,2.0,M,C,,,,,4.13,No
111-2019*S,111-2019,Pinaceae,Pinus,strobus,,Pinus strobus,Accepted name,1993. Flora of North America. Pteridophytes and Gymnosperms. Http://www.Efloras.Org/volume_page.Aspx?volume_id=1002.,,,"Eastern White Pine, Weymouth's Pine, Northern White Pine",Tree,111-2019,04-09-2019,Plant,Pinus strobus,P. strobus,,,From a cultivated plant not of known wild origin,,,,"Morningstar Nurseries, Llc, West Kingston, RI, United States",,,Items 410000017777 and 410000009987,,,,,,,,,,,,,,,,,,,,,,,WH1-SW,WH1,SW,42.29543839,-71.13435383,2022-06-14,Good,,2022-06-14,8.6,C,,,,,,,,,,7.2,No
1196-84*A,1196-84,Sapindaceae,Acer,rubrum,,Acer rubrum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,,Red Maple,Tree,1196-84,10-15-1984,Plant,Acer rubrum,A. rubrum,,,Collected directly from the wild; origin known,XX,X,SA,"Mr. Gary L. Koller, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Koller, G. L.",,10-12-1984,United States,"Massachusetts, Norfolk County",,"Blue Hills Reservation, near intersection of Rte. 128 and Ponkapoag Trail, along access road to Ponkapoag Pond",,,,,,,,,,,,,,11-NE,11,NE,42.30388171,-71.12019927,2019-10-07,Good,,2019-09-24,27.3,C,,,,,,,,,,1.6,No
1199*J,1199,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,,River Birch,Tree,1199,07-17-1877,Seed,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,,X,,,,,,,,"Dawson, L. Y.",,,United States,"Massachusetts, Lowell",,,,,,,,,,,,,,,,13-NE,13,NE,42.30252077,-71.12397574,2024-08-16,Fair,,2024-08-16,89.1,C,,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula nigra, 3",2.9,No
12843*H,12843,Betulaceae,Betula,alleghaniensis,,Betula alleghaniensis,Accepted name,"Little, E.L.Jr. 1953. Check List of Native and Naturalized Trees of the United States (Including Alaska). (Agricultural Handbook No. 41). Washington, D.C.: U. S. Forest Service. 472 pp.",,"Betula lutea var. alleghaniensis, Betula lutea",Yellow Birch,Tree,12843,10-15-1900,Plant,"Betula lutea, B. alleghaniensis",Bet. alleghan.,,,Collected directly from the wild; origin known,,,,"Mr. Jackson T. Dawson, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Dawson, J. T.",,,United States,"Maine, Bar Harbor",,,,,,,,,,,,,,,,14-SW,14,SW,42.30199149,-71.12371027,2017-12-31,Alive,,2017-06-29,64.6,C,,,,,,,,,"McAllister, Hugh, 01 Oct 2012, Betula x caerulea, 3",2.10,No
