Plant ID,Plant Lineage,Family,Genus,Specific epithet,Cultivar,Scientific Name,Name Status,Reference(s),Parentage,Alternate Name(s),Common Name(s),Habit,Accession Number,Accession Date,Received How,Received As,Abbreviated Name,Infraspecific Rank,Infraspecific Epithet,Provenance,Sampling Technique,Seed Source,Propagation History,Plant Source,Plant Source Accession Number,Plant Source Accession Date,Plant Source Misc.,Index Seminum Year,Index Seminum Item,Collector,Collector Number,Date Collected,Country,Sublocality,Geographic Area,Locality,Georeference Source,Accuracy,Certainty,Collection Latitude,Collection Longitude,Altitude,Altitude Unit,Slope Aspect,Habitat,Soil,Description,Collection Miscellaneous,Associated Taxa,Garden Location,Grid,Quadrant,Garden Latitude,Garden Longitude,Condition Check Date,Condition,Sex,Measurement Date,DBH,DBH Unit,DBH Misc,DBH Accuracy,Height,Height Unit,Height Accuracy,Spread,Spread Unit,Spread Accuracy,Verification,Horticulture Zone,Of Conservation Concern
22099*A,22099,Salicaceae,Populus,deltoides,,Populus deltoides ssp. deltoides,Accepted name,2010. Flora of North America. Magnoliophyta: Salicaceae to Brassicaceae. Oxford University Press.,,"Populus virginiana, Populus angulata, Populus angulata var. missouriensis",Eastern Cottonwood,Tree,22099,07-01-1911,Seed,"Populus sp., P. balsamifera virginiana, P. deltoides",Pop. delt. ssp. delt.,ssp.,deltoides,Collected directly from the wild; origin known,,,,"Highland Park Herbarium, Rochester, NY, United States",,,,,,"Slavin, B. M.",16,,United States,"New York, Sodus Bay",,,,,,,,,,,,,,,,55-NE,55,NE,42.29378479,-71.124621,2021-07-22,Good,,2021-07-22,58.0,C,,,,,,,,,"Eckenwalder, J. E., 01 Jan 1989, Populus deltoides ssp. deltoides, 3",4.13,No
593-2008*A,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc.",,,Withe-rod,Shrub,593-2008,10-16-2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10-09-2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",Lat/long information comes from GPS (global positioning system).,Within 5 km of the coordinates.,Certain - an exact match for the locality name in the gazetteer or map; or information derived from a GPS (global positioning system).,,,518,M,5? E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30184831,-71.12501015,2024-09-03,Good,,2024-09-03,,,,,2.3,M,C,,,,,2.9,No
593-2008*B,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc.",,,Withe-rod,Shrub,593-2008,10-16-2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10-09-2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",Lat/long information comes from GPS (global positioning system).,Within 5 km of the coordinates.,Certain - an exact match for the locality name in the gazetteer or map; or information derived from a GPS (global positioning system).,,,518,M,5? E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30185115,-71.1249796,2024-09-03,Good,,2024-09-03,,,,,1.9,M,C,,,,,2.9,No
593-2008*C,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc.",,,Withe-rod,Shrub,593-2008,10-16-2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10-09-2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",Lat/long information comes from GPS (global positioning system).,Within 5 km of the coordinates.,Certain - an exact match for the locality name in the gazetteer or map; or information derived from a GPS (global positioning system).,,,518,M,5? E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30182962,-71.12498215,2024-09-03,Good,,2024-09-03,,,,,1.9,M,C,,,,,2.9,No
593-2008*D,593-2008,Adoxaceae,Viburnum,cassinoides,,Viburnum cassinoides,Accepted name,"Dirr, M.A. 2007. Viburnums. Flowering Shrubs for Every Season. Timber Press, Inc.",,,Withe-rod,Shrub,593-2008,10-16-2008,Seed,Viburnum cassinoides,V. cassinoides,,,Collected directly from the wild; origin known,SO,P,SA,DACK-08 Adirondack Expedition 2008,53,,,,,"Alexander, Jack; Collins, Dennis; Dosmann, Michael; Schneider, Stephen; Thibault, Tim",53,10-09-2008,United States,"New York, Franklin Co., Lake Clear",,"19. Camp Mac - Off McMaster Road and driveway to cabin, above McCauley Pond.",Lat/long information comes from GPS (global positioning system).,Within 5 km of the coordinates.,Certain - an exact match for the locality name in the gazetteer or map; or information derived from a GPS (global positioning system).,,,518,M,5? E,Mesic woods. Growing in 0.5 shade.,Sandy loam with high organic matter.,"Multi-stemmed shrub to 3.0 m in height. Green to reddish, shiny leaves. Fruits range in color from white to blue-black.",,"Abies balsamea, Acer pensylvanicum, Acer rubrum, Acer spicatum, Alnus incana, Betula papyrifera, Betula populifolia, Fagus grandifolia, Pinus strobus, Tsuga canadensis, Viburnum cassinoides, Viburnum trilobum",19-NE,19,NE,42.30183491,-71.1249499,2024-09-03,Fair,,2017-10-05,,,,,1.1,M,C,,,,,2.9,No
925-79*B,925-79,Sapindaceae,Aesculus,flava,,Aesculus flava,Accepted name,"Hillier Nurseries 1991. The Hillier Manual of Trees &amp; Shrubs, Ed. 6. Ampfiled House, Ampfield: Hillier Nurseries (Winchester) Ltd. 1-704 pp.",,"Aesculus octandra, Aesculus octandra forma vestita, Aesculus octandra forma virginica","Yellow Buckeye, Sweet Buckeye",Tree,925-79,09-24-1979,Seed,Aesculus octandra,Aesc. flava,,,Collected directly from the wild; origin known,XX,X,SA,1979 Expedition to North Carolina,,,,,,"Weaver, R., Nickerson, J.",,09-13-1979,United States,"North Carolina, Rutherford County",,"Hickory Nut Gorge, Bat Cave",,,,,,,,,rich woods,,,,,10-NE,10,NE,42.30391297,-71.12232333,2019-09-11,Good,,2019-09-11,44.5,C,,,,,,,,,,1.16,No
1199*D,1199,Betulaceae,Betula,nigra,,Betula nigra,Accepted name,1993. Flora of North America Volume 3. Magnoliophyta: Magnoliidae and Hamamelidae. Http://www.Efloras.Org/florataxon.Aspx?flora_id=1&amp;taxon_id=220006616.,,,River Birch,Tree,1199,07-17-1877,Seed,Betula nigra,Bet. nigra,,,Collected directly from the wild; origin known,,X,,,,,,,,"Dawson, L. Y.",,,United States,"Massachusetts, Lowell",,,,,,,,,,,,,,,,13-SE,13,SE,42.30215088,-71.12401559,2017-12-31,Alive,,2017-06-14,68,C,,,,,,,,,"Hugh McAllister, 18 Jun 2009, Betula nigra, 3",2.10,No
20095*A,20095,Juglandaceae,Carya,glabra,,Carya glabra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,"Carya ovalis, Carya ovalis var. acuta, Carya ovalis var. hirsuta, Carya ovalis var. obcordata, Carya ovalis var. obovalis, Carya ovalis var. odorata, Carya glabra var. megacarpa, Carya glabra var. hirsuta, Carya leiodermis",Pignut,Tree,20095,07-01-1911,Seed,"Carya sp., Carya ovalis, Carya cf. ovalis",Carya glabra,,,Collected directly from the wild; origin known,S,X,SA,"Prof. Charles Sprague Sargent, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Sargent, C. S.",2,,United States,Pennsylvania,,[Retro-classified with accuracy of 300 km.],Estimated,More than 20 km from the coordinates.,Long-shot - a poor match in the gazetteer or map and/or unresolved ambiguity.,,,,,,,,,,,18-SE,18,SE,42.30107199,-71.12629543,2023-10-31,Good,,2023-10-31,69.8,C,,,,,,,,,,3.2,No
2019*R,2019,Juglandaceae,Carya,glabra,,Carya glabra,Accepted name,"Rehder, A. 1949. Bibliography of Cultivated Trees and Shrubs Hardy in the Cooler Temperate Regions of the Northern Hemisphere. Jamaica Plain, MA: Arnold Arboretum. 825 pp.",,"Carya ovalis, Carya ovalis var. acuta, Carya ovalis var. hirsuta, Carya ovalis var. obcordata, Carya ovalis var. obovalis, Carya ovalis var. odorata, Carya glabra var. megacarpa, Carya glabra var. hirsuta, Carya leiodermis",Pignut,Tree,2019,10-19-1883,Seed,"Carya porcina, Hickoria glabra, Carya glabra",Carya glabra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C.E.",,,United States,"Massachusetts, [Suffolk County], Jamaica Plain",,,Estimated,Within 5 km of the coordinates.,"Probable - close match for the locality name in the gazetteer or map, with possible, although unlikely, ambiguity.",,,,,,,,,,,25-SW,25,SW,42.2999657,-71.12566127,2023-10-25,Good,,2023-10-25,47.6,C,,,,,,,,,,3.2,No
20645*A,20645,Sapindaceae,Acer,saccharum,,Acer saccharum,Accepted name,"New England Wild Flower Society, Haines, A. 2011. Flora Novae Angliae. A manual for identification of native and naturalized higher vascular plants of New England. Yale University Press, New Haven and London.",,"Acer saccharophorum, Aster saccharum",Sugar Maple,Tree,20645,11-09-1928,Plant,Acer saccharum,A. saccharum,,,Uncertain origin,,,,"Bay State Nursery, North Abington, MA, United States",,,,,,,,,,,,,,,,,,,,,,,,,,11-NE,11,NE,42.30370116,-71.12007443,2019-10-07,Good,,2019-09-24,85.7,C,,,,,,,,,,1.6,No
5859*A,5859,Fagaceae,Quercus,rubra,,Quercus rubra,Accepted name,"Flora of North America Editorial Committee, eds. 1997. Flora of North America. Magnoliophyta: Magnoliidae and Hamamelidae.",,"Quercus rubra var. rubra, Quercus rubra var. borealis, Quercus rubra var. maxima, Quercus borealis, Quercus borealis var. maxima",Northern Red Oak,Tree,5859,09-02-1908,Seed,"Quercus borealis, Quercus borealis maxima, Quercus rubra maxima",Q. rubra,,,Collected directly from the wild; origin known,S,X,SA,"Mr. Charles E. Faxon, Arnold Arboretum, Jamaica Plain, MA, United States",,,,,,"Faxon, C.E.",,,United States,"New Hampshire, Littleton",,,,,,,,,,,,,,,,26-SW,26,SW,42.29994632,-71.12375725,2023-11-08,Fair,,2017-08-24,80.7,C,,,,,,,,,,2.7,No
